# delta neff CL
0.285 -2.37333 0
0.285 -2.37067 2.25956e-12
0.285 -2.368 3.95666e-10
0.285 -2.36533 1.71083e-08
0.285 -2.36267 2.19254e-06
0.285 -2.36 1.99666e-05
0.285 -2.35733 0.00113327
0.285 -2.35467 0.0123807
0.285 -2.352 0.0727359
0.285 -2.34933 0.221621
0.285 -2.34667 0.355111
0.285 -2.344 0.359876
0.285 -2.34133 0.373968
0.285 -2.33867 0.361536
0.285 -2.336 0.200548
0.285 -2.33333 0.0469377
0.285 -2.33067 0.0157286
0.285 -2.328 0.00413445
0.285 -2.32533 0.00135318
0.285 -2.32267 0.000850999
0.285 -2.32 6.58784e-05
0.285 -2.31733 1.23211e-05
0.285 -2.31467 1.47618e-06
0.285 -2.312 1.53587e-07
0.285 -2.30933 4.97844e-09
0.285 -2.30667 5.2884e-09
0.285 -2.304 3.61666e-10
0.285 -2.30133 3.60229e-12
0.291 -2.37867 0
0.291 -2.376 0
0.291 -2.37333 3.18868e-13
0.291 -2.37067 1.79143e-16
0.291 -2.368 9.22425e-11
0.291 -2.36533 4.10757e-08
0.291 -2.36267 1.87238e-06
0.291 -2.36 5.30381e-05
0.291 -2.35733 0.000933752
0.291 -2.35467 0.0122726
0.291 -2.352 0.0210842
0.291 -2.34933 0.117565
0.291 -2.34667 0.416637
0.291 -2.344 0.547696
0.291 -2.34133 0.543201
0.291 -2.33867 0.566774
0.291 -2.336 0.328033
0.291 -2.33333 0.0853683
0.291 -2.33067 0.0286299
0.291 -2.328 0.00717613
0.291 -2.32533 0.00755436
0.291 -2.32267 0.00156573
0.291 -2.32 0.000136881
0.291 -2.31733 2.77854e-05
0.291 -2.31467 3.37336e-06
0.291 -2.312 3.61375e-07
0.291 -2.30933 3.86623e-08
0.291 -2.30667 1.37791e-09
0.291 -2.304 9.70461e-10
0.291 -2.30133 5.24427e-11
0.297 -2.37867 0
0.297 -2.376 0
0.297 -2.37333 2.65238e-13
0.297 -2.37067 2.94809e-13
0.297 -2.368 3.92527e-11
0.297 -2.36533 2.9763e-08
0.297 -2.36267 1.32885e-06
0.297 -2.36 6.66894e-06
0.297 -2.35733 0.000651685
0.297 -2.35467 0.0102501
0.297 -2.352 0.0658389
0.297 -2.34933 0.224721
0.297 -2.34667 0.436346
0.297 -2.344 0.735256
0.297 -2.34133 0.689141
0.297 -2.33867 0.775535
0.297 -2.336 0.480247
0.297 -2.33333 0.177227
0.297 -2.33067 0.0416281
0.297 -2.328 0.0467342
0.297 -2.32533 0.0123697
0.297 -2.32267 0.00341817
0.297 -2.32 0.000254401
0.297 -2.31733 5.73006e-05
0.297 -2.31467 7.03931e-06
0.297 -2.312 7.83143e-07
0.297 -2.30933 8.93728e-08
0.297 -2.30667 3.31922e-08
0.297 -2.304 2.37006e-09
0.297 -2.30133 2.71852e-11
0.303 -2.37867 0
0.303 -2.376 0
0.303 -2.37333 3.8985e-14
0.303 -2.37067 0
0.303 -2.368 5.60563e-12
0.303 -2.36533 1.76161e-08
0.303 -2.36267 7.73531e-07
0.303 -2.36 6.06607e-06
0.303 -2.35733 0.000145309
0.303 -2.35467 0.00251345
0.303 -2.352 0.0246155
0.303 -2.34933 0.174321
0.303 -2.34667 0.481403
0.303 -2.344 0.865135
0.303 -2.34133 0.866996
0.303 -2.33867 0.920052
0.303 -2.336 0.622422
0.303 -2.33333 0.28172
0.303 -2.33067 0.0768212
0.303 -2.328 0.0417012
0.303 -2.32533 0.0105923
0.303 -2.32267 0.00379565
0.303 -2.32 0.000809576
0.303 -2.31733 0.000108425
